season,batter,matches_played,avg_runs_last_5,avg_sr_last_5,career_avg_runs,runs
2009,AB Agarkar,6,8.6,113.80952380952382,9.0,7
2009,AB Agarkar,7,9.6,154.7619047619048,8.714285714285714,1
2009,AB Agarkar,8,5.8,148.09523809523813,7.75,6
2009,AB Agarkar,9,6.8,153.09523809523813,7.555555555555555,39
2009,AB Agarkar,10,11.6,158.56321839080462,10.7,13
2009/10,AB Agarkar,11,13.2,123.85733603786346,10.909090909090908,17
2009/10,AB Agarkar,12,15.2,103.34451552504295,11.416666666666666,8
2009/10,AB Agarkar,13,16.6,115.34451552504295,11.153846153846153,6
2009/10,AB Agarkar,14,16.6,117.48737266790008,10.785714285714286,9
2011,AB Agarkar,15,10.6,126.59082094376215,10.666666666666666,7
2013,AB Agarkar,16,9.4,131.29670329670333,10.4375,3
2013,AB Agarkar,17,6.6,113.71428571428575,10.0,9
2011,AB Dinda,5,0.8,46.6666666666667,0.8,0
2012,AB Dinda,6,0.6,40.000000000000036,0.6666666666666666,2
2013,AB Dinda,7,0.8,28.000000000000036,0.8571428571428571,0
2013,AB Dinda,8,0.4,8.000000000000034,0.75,0
2013,AB Dinda,9,0.4,8.000000000000034,0.6666666666666666,1
2013,AB Dinda,10,0.6,28.000000000000036,0.7,2
2013,AB Dinda,11,1.0,48.000000000000036,0.8181818181818182,6
2014,AB Dinda,12,1.8,64.00000000000003,1.25,0
2014,AB Dinda,13,1.8,64.00000000000003,1.1538461538461537,2
2014,AB Dinda,14,2.2,72.00000000000003,1.2142857142857142,2
2017,AB Dinda,15,2.4,60.000000000000036,1.2666666666666666,7
2012,AB McDonald,5,15.2,115.97286226318488,15.2,30
2012,AB McDonald,6,20.6,132.55180963160592,17.666666666666668,8
2012,AB McDonald,7,18.6,133.50419058398688,16.285714285714285,9
2013,AB McDonald,8,17.6,118.75671583651213,15.375,0
2007/08,AB de Villiers,5,14.8,77.40021700379761,14.8,21
2009,AB de Villiers,6,13.8,70.56385336743396,15.833333333333334,105
2009,AB de Villiers,7,30.6,84.74685990338166,28.571428571428573,21
2009,AB de Villiers,8,34.8,103.00772946859907,27.625,50
2009,AB de Villiers,9,40.8,110.006669023212,30.11111111111111,5
2009,AB de Villiers,10,40.4,109.45111346765646,27.6,0
2009,AB de Villiers,11,36.2,92.65111346765644,25.09090909090909,50
2009,AB de Villiers,12,25.2,80.07801405245178,27.166666666666668,40
2009,AB de Villiers,13,29.0,86.05956872965862,28.153846153846153,44
2009,AB de Villiers,14,27.8,86.11376927166404,29.285714285714285,11
2009,AB de Villiers,15,29.0,93.33599149388627,28.066666666666666,79
2009,AB de Villiers,16,44.8,122.06326422115899,31.25,28
2009,AB de Villiers,17,40.4,115.05781957506099,31.058823529411764,6
2009,AB de Villiers,18,33.6,107.95825247549388,29.666666666666668,26
2009/10,AB de Villiers,19,30.0,108.27571279295421,29.473684210526315,7
2009/10,AB de Villiers,20,29.2,99.2757127929542,28.35,15
2009/10,AB de Villiers,21,16.4,82.08690160414301,27.714285714285715,11
2009/10,AB de Villiers,22,13.0,82.7765567765568,26.954545454545453,2
2009/10,AB de Villiers,23,12.2,78.967032967033,25.869565217391305,27
2009/10,AB de Villiers,24,12.4,74.974358974359,25.916666666666668,45
2009/10,AB de Villiers,25,20.0,91.35531135531139,26.68,4
2011,AB de Villiers,26,17.8,91.24542124542127,25.807692307692307,54
2011,AB de Villiers,27,26.4,97.58688466005542,26.85185185185185,38
2011,AB de Villiers,28,33.6,104.79409186726264,27.25,0
2011,AB de Villiers,29,28.2,84.02486109803186,26.310344827586206,65
2011,AB de Villiers,30,32.2,87.19946427263503,27.6,5
2011,AB de Villiers,31,32.4,125.77089284406361,26.870967741935484,26
2011,AB de Villiers,32,26.8,125.42942942942946,26.84375,27
2011,AB de Villiers,33,24.6,143.4603174603175,26.848484848484848,13
2011,AB de Villiers,34,27.2,162.03174603174608,26.441176470588236,34
2011,AB de Villiers,35,21.0,158.3280423280424,26.65714285714286,0
2011,AB de Villiers,36,20.0,108.32804232804237,25.916666666666668,11
2011,AB de Villiers,37,17.0,104.32804232804237,25.513513513513512,21
2011,AB de Villiers,38,15.8,92.00661375661379,25.394736842105264,18
2012,AB de Villiers,39,16.8,103.43518518518522,25.205128205128204,64
2012,AB de Villiers,40,22.8,108.72619047619051,26.175,10
2012,AB de Villiers,41,24.8,128.7261904761905,25.78048780487805,4
2012,AB de Villiers,42,23.4,133.39285714285717,25.261904761904763,6
2012,AB de Villiers,43,20.4,119.14285714285718,24.813953488372093,33
2012,AB de Villiers,44,23.4,136.2857142857143,25.0,52
2012,AB de Villiers,45,21.0,131.17537746806042,25.6,59
2012,AB de Villiers,46,30.8,160.34204413472708,26.32608695652174,0
2012,AB de Villiers,47,30.0,133.67537746806042,25.76595744680851,17
2012,AB de Villiers,48,32.2,147.82922362190658,25.583333333333332,47
2012,AB de Villiers,49,35.0,155.98048412610825,26.020408163265305,9
2012,AB de Villiers,50,26.4,175.61463046757166,25.68,14
2012,AB de Villiers,51,17.4,147.98642533936655,25.45098039215686,4
2013,AB de Villiers,52,18.2,155.25915261209383,25.03846153846154,22
2013,AB de Villiers,53,19.2,149.10530645824764,24.9811320754717,64
2013,AB de Villiers,54,22.6,132.5990675990676,25.703703703703702,52
2013,AB de Villiers,55,31.2,116.48795648795651,26.181818181818183,7
2013,AB de Villiers,56,29.8,112.44949494949499,25.839285714285715,31
2013,AB de Villiers,57,35.2,174.0656565656566,25.92982456140351,2
2013,AB de Villiers,58,31.2,167.39898989898992,25.517241379310345,21
2013,AB de Villiers,59,22.6,160.91880341880344,25.440677966101696,50
2013,AB de Villiers,60,22.2,175.5081753994798,25.85,6
2013,AB de Villiers,61,22.0,218.0081753994798,25.524590163934427,15
2013,AB de Villiers,62,18.8,169.1192865105909,25.35483870967742,32
2013,AB de Villiers,63,24.8,193.433012000787,25.46031746031746,28
2013,AB de Villiers,64,26.2,186.57986514764013,25.5,38
2013,AB de Villiers,65,23.8,181.10160427807492,25.692307692307693,5
2014,AB de Villiers,66,23.6,154.43493761140826,25.37878787878788,45
2014,AB de Villiers,67,29.6,153.18493761140826,25.671641791044777,11
2014,AB de Villiers,68,25.4,133.87121212121218,25.455882352941178,0
2014,AB de Villiers,69,19.8,108.41666666666671,25.08695652173913,17
2014,AB de Villiers,70,15.6,93.08333333333339,24.97142857142857,89
2014,AB de Villiers,71,32.4,101.14534883720935,25.87323943661972,9
2014,AB de Villiers,72,25.2,108.10963455149506,25.63888888888889,53
2014,AB de Villiers,73,33.6,127.6334440753046,26.013698630136986,58
2014,AB de Villiers,74,45.2,163.8834440753046,26.445945945945947,33
2014,AB de Villiers,75,48.4,180.04030682040263,26.533333333333335,28
2014,AB de Villiers,76,36.2,175.97829131652665,26.55263157894737,29
2014,AB de Villiers,77,40.2,182.48622782446316,26.584415584415584,13
2014,AB de Villiers,78,32.2,164.6290849673203,26.41025641025641,10
2015,AB de Villiers,79,22.6,161.71241830065364,26.20253164556962,28
2015,AB de Villiers,80,21.6,165.965811965812,26.225,46
2015,AB de Villiers,81,25.2,160.35661656351317,26.469135802469136,41
2015,AB de Villiers,82,27.6,196.46772767462429,26.646341463414632,14
2015,AB de Villiers,83,27.8,204.46772767462429,26.49397590361446,47
