player,venue,venue_runs_avg,venue_strike_rate_avg
AM Rahane,JSCA International Stadium Complex,4.0,57.14285714285714
AM Rahane,Kingsmead,3.0,42.85714285714285
AM Rahane,M Chinnaswamy Stadium,49.0,132.52331002331002
AM Rahane,"M Chinnaswamy Stadium, Bengaluru",35.0,167.5
AM Rahane,M.Chinnaswamy Stadium,36.0,180.0
AM Rahane,MA Chidambaram Stadium,0.0,0.0
AM Rahane,"MA Chidambaram Stadium, Chepauk",14.5,110.49019607843138
AM Rahane,"MA Chidambaram Stadium, Chepauk, Chennai",17.75,115.50507005034869
AM Rahane,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17.0,100.0
AM Rahane,Maharashtra Cricket Association Stadium,28.857142857142858,100.9681298034667
AM Rahane,"Maharashtra Cricket Association Stadium, Pune",17.5,90.15151515151516
AM Rahane,"Narendra Modi Stadium, Ahmedabad",14.0,113.84615384615385
AM Rahane,New Wanderers Stadium,0.0,0.0
AM Rahane,Punjab Cricket Association IS Bindra Stadium,26.0,123.8095238095238
AM Rahane,"Punjab Cricket Association IS Bindra Stadium, Mohali",9.0,81.81818181818183
AM Rahane,"Punjab Cricket Association Stadium, Mohali",29.0,97.40101168672597
AM Rahane,Rajiv Gandhi International Stadium,41.5,121.42857142857143
AM Rahane,"Rajiv Gandhi International Stadium, Uppal",16.8,71.90075187969924
AM Rahane,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",35.0,116.66666666666669
AM Rahane,"Sardar Patel Stadium, Motera",44.0,115.36160136160137
AM Rahane,Saurashtra Cricket Association Stadium,10.5,61.76470588235294
AM Rahane,Sawai Mansingh Stadium,32.35294117647059,110.24323617043181
AM Rahane,"Sawai Mansingh Stadium, Jaipur",15.0,115.38461538461536
AM Rahane,Sharjah Cricket Stadium,10.5,121.25
AM Rahane,Sheikh Zayed Stadium,38.166666666666664,97.47367786828481
AM Rahane,St George's Park,62.0,126.53061224489797
AM Rahane,Subrata Roy Sahara Stadium,15.0,55.55555555555556
AM Rahane,SuperSport Park,28.5,78.29268292682927
AM Rahane,Wankhede Stadium,36.75,125.16150165771698
AM Rahane,"Wankhede Stadium, Mumbai",23.5,130.6785761442624
AP Tare,Barabati Stadium,2.0,66.66666666666666
AP Tare,Brabourne Stadium,10.666666666666666,88.97435897435896
AP Tare,Dubai International Cricket Stadium,15.666666666666666,120.35087719298245
AP Tare,Eden Gardens,10.75,65.74074074074073
AP Tare,Feroz Shah Kotla,12.0,135.0
AP Tare,Himachal Pradesh Cricket Association Stadium,22.0,183.3333333333333
AP Tare,M.Chinnaswamy Stadium,18.0,105.88235294117648
AP Tare,Maharashtra Cricket Association Stadium,0.0,0.0
AP Tare,"Rajiv Gandhi International Stadium, Uppal",4.0,28.57142857142857
AP Tare,Sharjah Cricket Stadium,8.0,80.0
AP Tare,Sheikh Zayed Stadium,24.0,109.09090909090908
AP Tare,Wankhede Stadium,15.857142857142858,207.3037323037323
AR Patel,Arun Jaitley Stadium,12.666666666666666,127.95738882695404
AR Patel,"Arun Jaitley Stadium, Delhi",23.529411764705884,161.39365078407783
AR Patel,Barabati Stadium,1.0,100.0
AR Patel,"Barsapara Cricket Stadium, Guwahati",2.0,33.33333333333333
AR Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",25.0,157.72727272727275
AR Patel,"Brabourne Stadium, Mumbai",30.0,190.3361344537815
AR Patel,"Dr DY Patil Sports Academy, Mumbai",9.0,59.166666666666664
AR Patel,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1.3333333333333333,27.777777777777775
AR Patel,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",9.666666666666666,95.83333333333333
AR Patel,Dubai International Cricket Stadium,11.428571428571429,91.8831168831169
AR Patel,Eden Gardens,7.666666666666667,133.33333333333334
AR Patel,"Eden Gardens, Kolkata",15.0,71.42857142857143
AR Patel,Feroz Shah Kotla,29.75,101.58488063660477
AR Patel,Holkar Cricket Stadium,11.714285714285714,109.9117549117549
AR Patel,M Chinnaswamy Stadium,23.25,156.27917833800186
AR Patel,"M Chinnaswamy Stadium, Bengaluru",31.0,144.17249417249417
AR Patel,M.Chinnaswamy Stadium,3.0,233.33333333333331
AR Patel,MA Chidambaram Stadium,9.0,100.0
