player,match_id,date,team,opponent,venue,city,season,runs,balls_faced,boundaries,got_out,innings,strike_rate,batting_first,target_runs,target_balls_faced,target_strike_rate,next_opponent,next_venue,runs_last_3,runs_last_5,runs_last_10,balls_faced_last_3,balls_faced_last_5,balls_faced_last_10,strike_rate_last_3,strike_rate_last_5,strike_rate_last_10,boundaries_last_3,boundaries_last_5,boundaries_last_10,career_runs,career_matches,career_avg_runs,career_total_balls,career_strike_rate,career_boundaries,career_boundary_percentage,career_dismissals,venue_runs_avg,venue_strike_rate_avg,venue_matches_played,venue_familiar,vs_opponent_runs_avg,vs_opponent_strike_rate_avg,vs_opponent_matches,is_home_match,days_since_last_match,season_matches,form_indicator,performance_trend,runs_std_last_10,consistency_score,boundary_dependency,momentum_score,experience_level
JD Unadkat,1426312,2024-05-26,Sunrisers Hyderabad,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024,4,11,0,1,1,36.36363636363637,1,0.0,0.0,0.0,unknown,unknown,4.666666666666667,5.8,8.8,4.666666666666667,4.4,5.9,126.66666666666669,221.7142857142857,191.7301587301588,0.6666666666666666,0.8,1.1,193.0,26,7.423076923076923,155.0,124.51612903225806,23.0,14.838709677419354,13.0,17.5,149.15966386554624,2.0,0,1.0,100.0,1.0,0,2.0,4,0.36380227019357453,-3.9733333333333336,5.80804040389987,0.3935354736539213,0.39333333333333337,7.7333333333333325,intermediate
Shahbaz Ahmed,1473441,2025-03-24,Lucknow Super Giants,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,2025,9,8,1,1,1,112.5,1,0.0,0.0,0.0,unknown,unknown,8.666666666666666,7.8,17.7,8.666666666666666,8.8,14.1,71.42857142857143,69.52380952380952,109.3912273694488,0.6666666666666666,0.4,1.5,536.0,37,14.486486486486486,438.0,122.37442922374429,53.0,12.100456621004566,29.0,0.0,0.0,0.0,0,14.0,147.77777777777777,2.0,0,90.0,0,0.6223563823563827,-9.626666666666667,18.30027322200409,0.04553439832884158,0.2333333333333333,12.950666666666667,intermediate
Mohammed Shami,1473457,2025-04-06,Sunrisers Hyderabad,Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2025,6,2,1,0,1,300.0,1,0.0,0.0,0.0,unknown,unknown,1.3333333333333333,1.8,2.4,2.6666666666666665,2.8,3.4,61.11111111111111,56.66666666666666,60.833333333333336,0.0,0.2,0.1,78.0,26,3.0,87.0,89.65517241379311,8.0,9.195402298850574,14.0,0.0,0.0,0.0,0,1.3333333333333333,66.66666666666667,3.0,1,3.0,3,-0.7837509881422925,-1.0200000000000002,2.756809750418043,0.0,0.29333333333333333,2.16,intermediate
JJ Bumrah,1473458,2025-04-07,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2025,0,1,0,0,2,0.0,0,0.0,0.0,0.0,unknown,unknown,3.6666666666666665,2.4,1.8,3.6666666666666665,3.2,2.3,129.62962962962965,97.7777777777778,83.88888888888889,0.3333333333333333,0.2,0.2,68.0,26,2.6153846153846154,77.0,88.31168831168831,6.0,7.792207792207792,8.0,0.0,0.0,0.0,0,5.25,134.16666666666666,4.0,1,90.0,0,-1.0854866727475423,0.29333333333333317,2.658320271650249,0.0,0.1,1.8906666666666667,intermediate
TA Boult,1473458,2025-04-07,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2025,1,1,0,0,2,100.0,0,0.0,0.0,0.0,unknown,unknown,4.333333333333333,3.0,5.9,4.666666666666667,3.6,4.8,61.11111111111111,49.99999999999999,78.23953823953823,0.6666666666666666,0.4,0.7,84.0,22,3.8181818181818175,80.0,105.0,8.0,10.0,8.0,2.0,200.0,1.0,0,0.0,0.0,0.0,1,15.0,1,0.30185235816814765,-1.8399999999999999,6.967384333050995,0.0,0.13333333333333333,4.428,intermediate
RD Gaikwad,1473459,2025-04-08,Chennai Super Kings,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2025,1,3,0,1,2,33.33333333333333,0,0.0,0.0,0.0,unknown,unknown,22.666666666666668,24.2,35.5,17.333333333333332,15.8,24.5,89.39393939393942,94.4055944055944,104.02443238976711,3.0,3.6,4.6,2501.0,69,36.2463768115942,1808.0,138.32964601769913,326.0,18.03097345132744,60.0,40.0,142.85714285714286,1.0,0,49.333333333333336,137.6854870275923,6.0,0,3.0,4,-11.068942595875452,-19.086666666666666,34.05306316781372,0.13724445545007685,0.3974363581910752,28.914666666666665,experienced
Sandeep Sharma,1473460,2025-04-09,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2025,6,5,0,0,2,120.0,0,0.0,0.0,0.0,unknown,unknown,0.6666666666666666,2.4,2.3,2.333333333333333,3.4,2.9,13.333333333333334,44.66666666666666,52.33333333333333,0.0,0.2,0.2,54.0,25,2.16,69.0,78.26086956521739,4.0,5.797101449275362,5.0,0.0,0.0,0.0,0,0.5,50.0,2.0,0,90.0,0,0.09405119518162994,-0.08666666666666659,3.368151487751767,0.0,0.1,2.3466666666666667,intermediate
MM Sharma,1473466,2025-04-13,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,2025,0,1,0,1,2,0.0,0,0.0,0.0,0.0,unknown,unknown,1.0,0.6,1.9,5.666666666666667,4.0,4.5,21.428571428571427,12.857142857142856,42.42857142857143,0.0,0.0,0.1,125.0,29,4.310344827586207,135.0,92.5925925925926,13.0,9.62962962962963,16.0,1.3333333333333333,44.44444444444444,3.0,1,6.0,125.0,2.0,1,20.0,1,-3.260763308211584,-1.7666666666666664,1.969207398365581,0.12802707311249759,0.0,1.4026666666666667,intermediate
RA Tripathi,1473467,2025-04-14,Chennai Super Kings,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025,9,10,1,1,2,90.0,0,0.0,0.0,0.0,unknown,unknown,14.666666666666666,11.0,21.1,14.666666666666666,12.0,16.0,120.1488569909623,99.26880137406452,127.74644550495944,2.0,1.4,3.0,2282.0,97,23.52577319587629,1645.0,138.72340425531914,313.0,19.027355623100306,85.0,74.0,176.19047619047618,1.0,0,26.166666666666668,114.79073217456312,6.0,0,3.0,4,-2.9183975138636953,-5.266666666666668,16.488716680741952,0.18975240296520884,0.4380193236714976,18.446666666666665,experienced
V Shankar,1473467,2025-04-14,Chennai Super Kings,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025,9,8,1,1,2,112.5,0,0.0,0.0,0.0,unknown,unknown,33.333333333333336,23.8,18.6,25.33333333333333,17.8,14.9,122.76130578017371,132.22821203953282,122.84137874703912,3.0,2.4,1.9,1224.0,62,19.741935483870968,939.0,130.3514376996805,135.0,14.376996805111824,45.0,4.0,66.66666666666666,1.0,0,23.0,176.9230769230769,1.0,0,3.0,4,-0.6580836280584265,5.826666666666666,19.07994875371641,0.07528066157973484,0.33010161585873726,20.633333333333333,experienced
