career_avg,recent_3_avg,recent_5_avg,recent_10_avg,strike_rate,boundary_ratio,consistency_score,momentum,venue_adjusted_runs,pvt_avg,experience_log,target_next_runs
13.75,18.333333333333332,13.75,13.75,137.03703703703704,0.17857142857142858,0.7615079331786772,4.583333333333332,2.0564551422319477,13.666666666666666,1.6094379124341003,48.0
5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,33.33333333333333,0.0,0.5687776028451786,0.0,0.04735632183908046,3.6666666666666665,1.3862943611198906,14.0
9.666666666666666,9.666666666666666,9.666666666666666,9.666666666666666,100.0,0.125,1.2382273476549068,0.0,0.7103448275862069,17.142857142857142,1.3862943611198906,45.0
29.333333333333332,29.333333333333332,29.333333333333332,29.333333333333332,128.57142857142858,0.2,1.1279159575361968,0.0,0.8524137931034482,33.0,1.3862943611198906,86.0
7.75,9.333333333333334,7.75,7.75,142.85714285714286,0.25,1.5404097557152052,1.583333333333334,0.47356321839080456,14.0,1.6094379124341003,24.0
17.25,15.0,17.25,17.25,33.33333333333333,0.0,1.3962922107978186,-2.25,0.04735632183908046,19.5,1.6094379124341003,6.0
43.0,39.333333333333336,43.0,43.0,200.0,0.3333333333333333,1.0517777286295307,-3.6666666666666643,0.18942528735632183,21.727272727272727,1.6094379124341003,3.0
24.0,24.0,24.0,24.0,171.42857142857142,0.2,0.0,0.0,1.136551724137931,23.310344827586206,0.6931471805599453,2.0
18.0,18.0,18.0,18.0,150.0,0.15384615384615385,0.0,0.0,0.8524137931034482,5.5,0.6931471805599453,39.0
39.0,39.0,39.0,39.0,108.33333333333333,0.16216216216216217,0.0,0.0,1.8468965517241378,29.11111111111111,0.6931471805599453,11.0
17.0,17.0,17.0,17.0,113.33333333333333,0.125,0.0,0.0,0.8050574712643678,7.4,0.6931471805599453,8.0
25.666666666666668,25.666666666666668,25.666666666666668,25.666666666666668,0.0,0.0,0.9503916727106245,0.0,0.0,34.38461538461539,1.3862943611198906,50.0
48.0,48.0,48.0,48.0,136.36363636363635,0.21428571428571427,1.2249971014657042,0.0,3.5517241379310343,47.5,1.0986122886681098,3.0
19.0,19.0,19.0,19.0,100.0,0.15,0.0,0.0,0.8997701149425287,19.0,0.6931471805599453,6.0
7.0,7.0,7.0,7.0,77.77777777777779,0.0,0.0,0.0,0.3314942528735632,7.0,0.6931471805599453,1.0
37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,85.71428571428571,0.125,0.7441902370199611,0.0,0.28413793103448276,25.0,1.3862943611198906,24.0
